frame_id,source,frame,n_model_boxes,n_fish,n_not_fish,n_missed,has_fish
120GOPRO/GOPR7006.JPG,120GOPRO,GOPR7006.JPG,0,0,0,0,no
120GOPRO/GOPR7083.JPG,120GOPRO,GOPR7083.JPG,2,0,2,0,no
120GOPRO/GOPR7147.JPG,120GOPRO,GOPR7147.JPG,1,0,1,0,no
120GOPRO/GOPR7174.JPG,120GOPRO,GOPR7174.JPG,1,0,1,0,no
120GOPRO/GOPR7196.JPG,120GOPRO,GOPR7196.JPG,0,0,0,0,no
120GOPRO/GOPR7257.JPG,120GOPRO,GOPR7257.JPG,1,0,1,0,no
120GOPRO/GOPR7290.JPG,120GOPRO,GOPR7290.JPG,1,0,1,0,no
120GOPRO/GOPR7318.JPG,120GOPRO,GOPR7318.JPG,1,0,1,0,no
120GOPRO/GOPR7363.JPG,120GOPRO,GOPR7363.JPG,0,0,0,0,no
120GOPRO/GOPR7373.JPG,120GOPRO,GOPR7373.JPG,1,0,1,0,no
120GOPRO/GOPR7551.JPG,120GOPRO,GOPR7551.JPG,1,0,1,0,no
120GOPRO/GOPR7615.JPG,120GOPRO,GOPR7615.JPG,3,0,3,0,no
120GOPRO/GOPR7657.JPG,120GOPRO,GOPR7657.JPG,0,0,0,0,no
120GOPRO/GOPR7740.JPG,120GOPRO,GOPR7740.JPG,0,0,0,0,no
120GOPRO/GOPR7864.JPG,120GOPRO,GOPR7864.JPG,3,3,0,0,yes
120GOPRO/GOPR7873.JPG,120GOPRO,GOPR7873.JPG,0,0,0,0,no
120GOPRO/GOPR7877.JPG,120GOPRO,GOPR7877.JPG,1,0,1,0,no
120GOPRO/GOPR7879.JPG,120GOPRO,GOPR7879.JPG,1,0,1,0,no
120GOPRO/GOPR7884.JPG,120GOPRO,GOPR7884.JPG,1,0,1,0,no
120GOPRO/GOPR7891.JPG,120GOPRO,GOPR7891.JPG,1,1,0,0,yes
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR0004.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR0004.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8021.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8021.JPG,2,1,1,0,yes
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8066.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8066.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8090.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8090.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8094.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8094.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8262.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8262.JPG,1,1,0,0,yes
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8367.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8367.JPG,4,4,0,0,yes
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8391.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8391.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8394.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8394.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8426.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8426.JPG,1,1,0,0,yes
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8539.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8539.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8584.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8584.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8635.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8635.JPG,2,0,2,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8659.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8659.JPG,2,0,2,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8825.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8825.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8930.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8930.JPG,3,2,1,0,yes
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8931.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8931.JPG,2,0,2,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8936.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8936.JPG,2,0,2,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8991.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8991.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR9000.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR9000.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9014.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9014.JPG,2,1,1,0,yes
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9058.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9058.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9072.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9072.JPG,1,1,0,0,yes
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9083.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9083.JPG,4,0,4,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9229.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9229.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9232.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9232.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9284.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9284.JPG,2,0,2,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9314.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9314.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9335.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9335.JPG,4,2,2,0,yes
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9348.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9348.JPG,0,0,0,2,yes
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9349.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9349.JPG,2,0,2,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9423.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9423.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9425.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9425.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9885.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9885.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9910.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9910.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9923.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9923.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9925.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9925.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9994.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9994.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0036.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0036.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0037.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0037.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0109.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0109.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0217.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0217.JPG,3,0,3,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0262.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0262.JPG,4,0,4,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0372.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0372.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0599.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0599.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0669.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0669.JPG,3,0,3,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0733.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0733.JPG,2,0,2,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0740.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0740.JPG,2,0,2,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0742.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0742.JPG,3,0,3,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0809.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0809.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0865.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0865.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0867.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0867.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0869.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0869.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0875.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0875.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0886.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0886.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0974.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0974.JPG,3,0,3,0,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0979.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0979.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1009.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1009.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1050.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1050.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1084.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1084.JPG,2,0,2,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1093.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1093.JPG,3,0,3,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1108.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1108.JPG,3,0,3,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1424.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1424.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1444.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1444.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1454.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1454.JPG,2,0,2,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1459.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1459.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1464.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1464.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1503.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1503.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1517.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1517.JPG,3,0,3,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1518.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1518.JPG,5,1,4,0,yes
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1646.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1646.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1658.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1658.JPG,6,0,6,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1808.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1808.JPG,2,0,2,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1876.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1876.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1882.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1882.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1908.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1908.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1916.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1916.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2203.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2203.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2414.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2414.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2416.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2416.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2418.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2418.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2429.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2429.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2460.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2460.JPG,2,0,2,0,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2513.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2513.JPG,0,0,0,0,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2568.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2568.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2573.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2573.JPG,1,0,1,0,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2596.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2596.JPG,1,0,1,0,no
