frame_id,source,frame,box_index,origin,label,x1,y1,x2,y2,confidence
120GOPRO/GOPR7083.JPG,120GOPRO,GOPR7083.JPG,0,model,not_fish,1,254,2458,2304,0.708
120GOPRO/GOPR7083.JPG,120GOPRO,GOPR7083.JPG,1,model,not_fish,4,1606,2455,3000,0.155
120GOPRO/GOPR7147.JPG,120GOPRO,GOPR7147.JPG,0,model,not_fish,1192,2082,1308,2177,0.376
120GOPRO/GOPR7174.JPG,120GOPRO,GOPR7174.JPG,0,model,not_fish,1254,2037,1358,2127,0.218
120GOPRO/GOPR7257.JPG,120GOPRO,GOPR7257.JPG,0,model,not_fish,1626,1204,3221,1610,0.101
120GOPRO/GOPR7290.JPG,120GOPRO,GOPR7290.JPG,0,model,not_fish,311,1471,726,1642,0.478
120GOPRO/GOPR7318.JPG,120GOPRO,GOPR7318.JPG,0,model,not_fish,361,1470,737,1632,0.133
120GOPRO/GOPR7373.JPG,120GOPRO,GOPR7373.JPG,0,model,not_fish,322,1786,1824,2521,0.372
120GOPRO/GOPR7551.JPG,120GOPRO,GOPR7551.JPG,0,model,not_fish,3008,2186,3152,2331,0.461
120GOPRO/GOPR7615.JPG,120GOPRO,GOPR7615.JPG,0,model,not_fish,2599,2378,2805,2541,0.636
120GOPRO/GOPR7615.JPG,120GOPRO,GOPR7615.JPG,1,model,not_fish,2779,249,3027,346,0.604
120GOPRO/GOPR7615.JPG,120GOPRO,GOPR7615.JPG,2,model,not_fish,2649,2515,2762,2678,0.489
120GOPRO/GOPR7864.JPG,120GOPRO,GOPR7864.JPG,0,model,fish,821,1224,3290,2714,0.755
120GOPRO/GOPR7864.JPG,120GOPRO,GOPR7864.JPG,1,model,fish,1655,1032,3996,1896,0.271
120GOPRO/GOPR7864.JPG,120GOPRO,GOPR7864.JPG,2,model,fish,1656,1029,3999,2338,0.138
120GOPRO/GOPR7877.JPG,120GOPRO,GOPR7877.JPG,0,model,not_fish,1565,616,4000,1539,0.68
120GOPRO/GOPR7879.JPG,120GOPRO,GOPR7879.JPG,0,model,not_fish,1572,682,4000,1567,0.494
120GOPRO/GOPR7884.JPG,120GOPRO,GOPR7884.JPG,0,model,not_fish,0,1726,2456,3000,0.125
120GOPRO/GOPR7891.JPG,120GOPRO,GOPR7891.JPG,0,model,fish,845,1007,3291,2721,0.795
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8021.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8021.JPG,0,model,fish,2540,1306,3047,1670,0.871
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8021.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8021.JPG,1,model,not_fish,0,2812,262,3000,0.115
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8066.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8066.JPG,0,model,not_fish,971,2162,1246,2330,0.233
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8262.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8262.JPG,0,model,fish,2522,2723,2719,2846,0.76
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8367.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8367.JPG,0,model,fish,1575,2194,1787,2403,0.439
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8367.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8367.JPG,1,model,fish,2349,2610,2642,2743,0.315
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8367.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8367.JPG,2,model,fish,608,2945,871,3000,0.185
